atsu.edu|A.T. Still University of Health Sciences|AZ / MO
fitnyc.edu|Fashion Institute of Technology|</LI>
sunyit.edu|Institute of Technology at Utica/Rome|</LI>
sunymaritime.edu|Maritime College at Fort Schuyler|</LI>
upstate.edu|Upstate Medical University|</LI>
sfasu.edu|Stephen F. Austin State University|TX
stephens.edu|Stephens College|MO
sterling.edu|Sterling College|KS
sterlingcollege.edu|Sterling College|VT
stetson.edu|Stetson University|FL
stevens.edu|Stevens Institute of Technology|NJ
stevenson.edu|Stevenson University|MD
stillman.edu|Stillman College|AL
stonehill.edu|Stonehill College|MA
strayer.edu|Strayer University|DC
suffolk.edu|Suffolk University|MA
sulross.edu|Sul Ross State University|TX
sullivan.edu|Sullivan University|KY
susqu.edu|Susquehanna University|PA
swarthmore.edu|Swarthmore College|PA
sbc.edu|Sweet Briar College|VA
syracuse.edu|Syracuse University|NY
pacific.edu|University of the Pacific|CA
upenn.edu|University of Pennsylvania|PA
phoenix.edu|University of Phoenix|AZ
upike.edu|University of Pikeville|KY
pitt.edu|University of Pittsburgh|PA
upb.pitt.edu|University of Pittsburgh-Bradford|PA
upg.pitt.edu|University of Pittsburgh-Greensburg|PA
upj.pitt.edu|University of Pittsburgh-Johnstown|PA
up.edu|University of Portland|OR
potomac.edu|University of the Potomac|DC
uprag.edu|University of Puerto Rico-Aguadilla|PR
upra.edu|University of Puerto Rico-Arecibo|PR
uprb.edu|University of Puerto Rico-Bayam&oacute;n|PR
uprc.edu|University of Puerto Rico-Carolina|PR
cayey.upr.edu|University of Puerto Rico-Cayey|PR
rcm.upr.edu|University of Puerto Rico-Ciencias M&eacute;dicas|PR
uprh.edu|University of Puerto Rico-Humacao|PR
uprm.edu|University of Puerto Rico-Mayag&uuml;ez|PR
uprp.edu|University of Puerto Rico-Ponce|PR
uprrp.edu|University of Puerto Rico-R&iacute;o Piedras|PR
upr.edu|University of Puerto Rico System|PR
uprutuado.edu|University of Puerto Rico-Utuado|PR
pugetsound.edu|University of Puget Sound|WA
redlands.edu|University of Redlands|CA
uri.edu|University of Rhode Island|RI
richmond.edu|University of Richmond|VA
rio.edu|University of Rio Grande|OH
rochester.edu|University of Rochester|NY
rockies.edu|University of the Rockies|CO
stfrancis.edu|University of St. Francis|IL
sf.edu|University of Saint Francis|IN
stmary.edu|University of Saint Mary|KS
sandiego.edu|University of San Diego|CA
usfca.edu|University of San Francisco|CA
usao.edu|University of Science & Arts of Oklahoma|OK
usciences.edu|University of the Sciences in Philadelphia|PA
matrix.scranton.edu|University of Scranton|PA
usiouxfalls.edu|University of Sioux Falls|SD
usc.edu|University of Southern California|CA
usm.maine.edu|University of Southern Maine|ME
sc.edu|University of South Carolina|SC
usca.edu|University of South Carolina-Aiken|SC
uscb.edu|University of South Carolina-Beaufort|SC
sc.edu/about/system_and_campuses|University of South Carolina System|SC
uscupstate.edu|University of South Carolina-Upstate|SC
usd.edu|University of South Dakota|SD
usf.edu|University of South Florida|FL
usfsp.edu|University of South Florida Saint Petersburg|FL
usfsm.edu|University of South Florida Sarasota-Manatee|FL
usm.edu|University of Southern Mississippi|MS
stthom.edu|University of Saint Thomas|TX
stthomas.edu|University of Saint Thomas|MN
usouthal.edu|University of South Alabama|AL
usi.edu|University of Southern Indiana|IN
ut.edu|University of Tampa|FL
utk.edu|University of Tennessee|TN
utc.edu|University of Tennessee-Chattanooga|TN
uthsc.edu|University of Tennessee Health Science Center|TN
utm.edu|University of Tennessee-Martin|TN
tennessee.edu|University of Tennessee System|TN
uta.edu|University of Texas-Arlington|TX
utexas.edu|University of Texas-Austin|TX
utb.edu|University of Texas-Brownsville|TX
utdallas.edu|University of Texas-Dallas|TX
utep.edu|University of Texas-El Paso|TX
uth.edu|University of Texas Health Science Center at Houston|TX
uthscsa.edu|University of Texas Health Science Center at San Antonio|TX
uthct.edu|University of Texas Health Science Center at Tyler|TX
mdanderson.org|University of Texas M.D. Anderson Cancer Center|TX
utmb.edu|University of Texas Medical Branch at Galveston|TX
utpa.edu|University of Texas-Pan American|TX
utpb.edu|University of Texas of the Permian Basin|TX
utsa.edu|University of Texas-San Antonio|TX
utsouthwestern.edu|University of Texas Southwestern Medical Center at Dallas|TX
utsystem.edu|University of Texas System|TX
uttyler.edu|University of Texas-Tyler|TX
uarts.edu|University of the Arts|PA
ucumberlands.edu|University of the Cumberlands|KY
uiw.edu|University of the Incarnate Word|TX
sewanee.edu|University of the South|TN
usw.edu|University of the Southwest|NM
utoledo.edu|University of Toledo|OH
utulsa.edu|University of Tulsa|OK
utah.edu|University of Utah|UT
uvm.edu|University of Vermont|VT
uvi.edu|University of the Virgin Islands|VI
virginia.edu|University of Virginia|VA
wise.virginia.edu|University of Virginia's College at Wise|VA
washington.edu|University of Washington|WA
uwb.edu|University of Washington-Bothell|WA
tacoma.uw.edu|University of Washington-Tacoma|WA
uwa.edu|University of West Alabama|AL
uwf.edu|University of West Florida|FL
westga.edu|University of West Georgia|GA
uws.edu|University of Western States|OR
uwest.edu|University of the West|CA
uwec.edu|University of Wisconsin-Eau Claire|WI
uwgb.edu|University of Wisconsin-Green Bay|WI
uwlax.edu|University of Wisconsin-La Crosse|WI
wisc.edu|University of Wisconsin-Madison|WI
uwm.edu|University of Wisconsin-Milwaukee|WI
uwosh.edu|University of Wisconsin-Oshkosh|WI
uwp.edu|University of Wisconsin-Parkside|WI
uwplatt.edu|University of Wisconsin-Platteville|WI
uwrf.edu|University of Wisconsin-River Falls|WI
uwsp.edu|University of Wisconsin-Stevens Point|WI
uwstout.edu|University of Wisconsin-Stout|WI
uwsuper.edu|University of Wisconsin-Superior|WI
uwsa.edu|University of Wisconsin System|WI
uww.edu|University of Wisconsin-Whitewater|WI
uwyo.edu|University of Wyoming|WY
xavier.edu|Xavier University|OH
xula.edu|Xavier University of Louisiana|LA
yale.edu|Yale University|CT
yu.edu|Yeshiva University|NY
york.edu|York College|NE
ycp.edu|York College of Pennsylvania|PA
yhc.edu|Young Harris College|GA
ysu.edu|Youngstown State University|OH
